Exp,x1,p1,t1,x2,p2,t2,N,k
WC05_T3,100,1,0,110,1,1,446,272
WC05_T3,100,0.5,0,110,0.5,1,446,312
WC05_T3,100,1,6.5,110,1,7.5,446,205
WC05_T3,100,0.5,6.5,110,0.5,7.5,446,227
WC05_T4,2700,0.66,0,3000,0.33,0,445,187
WC05_T4,2700,0.66,12,3000,0.33,12,445,178
WC05_T8,2700,1,0,3000,0.9,0,91,82
WC05_T8,2700,0.2,0,3000,0.18,0,91,63
