Exp,x1,p1,t1,x2,p2,t2,N,k
Ericson15,2.5,1,0,7.5,1,0.75,7,3
Ericson15,2.5,1,0.25,7.5,1,0.5,13,2
Ericson15,2.5,1,0.25,7.5,1,0.75,3,3
Ericson15,2.5,1,0.25,7.5,1,1,6,5
Ericson15,2.5,1,0.5,7.5,1,0.75,6,1
Ericson15,2.5,1,0.5,7.5,1,1,7,4
Ericson15,2.5,1,0.5,7.5,1,1.25,10,7
Ericson15,3.33,1,0,13.33,1,0.25,6,4
Ericson15,3.33,1,0,13.33,1,0.5,6,3
Ericson15,3.33,1,0,13.33,1,0.75,9,4
Ericson15,3.33,1,0.25,13.33,1,0.5,7,1
Ericson15,3.33,1,0.25,13.33,1,0.75,6,1
Ericson15,3.33,1,0.25,13.33,1,1,4,2
Ericson15,3.33,1,0.5,13.33,1,0.75,6,1
Ericson15,3.33,1,0.5,13.33,1,1,5,3
Ericson15,3.33,1,0.5,13.33,1,1.25,8,2
Ericson15,4,1,0,5,1,0.25,3,2
Ericson15,4,1,0,5,1,0.5,7,7
Ericson15,4,1,0,5,1,0.75,7,7
Ericson15,4,1,0.25,5,1,0.5,4,2
Ericson15,4,1,0.25,5,1,0.75,9,6
Ericson15,4,1,0.25,5,1,1,7,5
Ericson15,4,1,0.5,5,1,0.75,7,5
Ericson15,4,1,0.5,5,1,1,4,3
Ericson15,4,1,0.5,5,1,1.25,3,2
Ericson15,4,1,0,6,1,0.25,4,2
Ericson15,4,1,0,6,1,0.5,5,5
Ericson15,4,1,0,6,1,0.75,2,2
Ericson15,4,1,0.25,6,1,0.5,3,3
Ericson15,4,1,0.25,6,1,0.75,6,3
Ericson15,4,1,0.25,6,1,1,8,7
Ericson15,4,1,0.5,6,1,0.75,5,4
Ericson15,4,1,0.5,6,1,1,2,1
Ericson15,4,1,0.5,6,1,1.25,4,3
Ericson15,5,1,0,5.5,1,0.25,8,7
Ericson15,5,1,0,5.5,1,0.5,7,7
Ericson15,5,1,0,5.5,1,0.75,10,9
Ericson15,5,1,0.25,5.5,1,0.5,5,5
Ericson15,5,1,0.25,5.5,1,0.75,2,2
Ericson15,5,1,0.25,5.5,1,1,8,8
Ericson15,5,1,0.5,5.5,1,0.75,8,7
Ericson15,5,1,0.5,5.5,1,1,8,6
Ericson15,5,1,0.5,5.5,1,1.25,6,5
Ericson15,5,1,0,10,1,0.25,7,3
Ericson15,5,1,0,10,1,0.5,7,7
Ericson15,5,1,0,10,1,0.75,6,3
Ericson15,5,1,0.25,10,1,0.5,7,5
Ericson15,5,1,0.25,10,1,0.75,8,7
Ericson15,5,1,0.25,10,1,1,3,3
Ericson15,5,1,0.5,10,1,0.75,5,3
Ericson15,5,1,0.5,10,1,1,1,0
Ericson15,5,1,0.5,10,1,1.25,4,3
Ericson15,5,1,0,15,1,0.25,6,3
Ericson15,5,1,0,15,1,0.5,5,2
Ericson15,5,1,0,15,1,0.75,3,3
Ericson15,5,1,0.25,15,1,0.5,4,2
Ericson15,5,1,0.25,15,1,0.75,4,3
Ericson15,5,1,0.25,15,1,1,7,4
Ericson15,5,1,0.5,15,1,0.75,7,4
Ericson15,5,1,0.5,15,1,1,5,3
Ericson15,5,1,0.5,15,1,1.25,4,2
Ericson15,8,1,0,10,1,0.25,4,4
Ericson15,8,1,0,10,1,0.5,3,3
Ericson15,8,1,0,10,1,0.75,10,8
Ericson15,8,1,0.25,10,1,0.5,9,7
Ericson15,8,1,0.25,10,1,0.75,8,6
Ericson15,8,1,0.25,10,1,1,8,8
Ericson15,8,1,0.5,10,1,0.75,9,8
Ericson15,8,1,0.5,10,1,1,8,7
Ericson15,8,1,0.5,10,1,1.25,4,4
Ericson15,10,1,0,10.1,1,0.25,9,9
Ericson15,10,1,0,10.1,1,0.5,7,7
Ericson15,10,1,0,10.1,1,0.75,8,7
Ericson15,10,1,0.25,10.1,1,0.5,5,4
Ericson15,10,1,0.25,10.1,1,0.75,5,5
Ericson15,10,1,0.25,10.1,1,1,5,5
Ericson15,10,1,0.5,10.1,1,0.75,9,9
Ericson15,10,1,0.5,10.1,1,1,5,4
Ericson15,10,1,0.5,10.1,1,1.25,4,4
Ericson15,10,1,0,10.5,1,0.25,3,3
Ericson15,10,1,0,10.5,1,0.5,4,4
Ericson15,10,1,0,10.5,1,0.75,2,2
Ericson15,10,1,0.25,10.5,1,0.5,2,0
Ericson15,10,1,0.25,10.5,1,0.75,5,4
Ericson15,10,1,0.25,10.5,1,1,8,8
Ericson15,10,1,0.5,10.5,1,0.75,7,7
Ericson15,10,1,0.5,10.5,1,1,6,6
Ericson15,10,1,0.5,10.5,1,1.25,9,9
Ericson15,10,1,0,11,1,0.5,7,7
Ericson15,10,1,0,11,1,0.75,5,5
Ericson15,10,1,0.25,11,1,0.5,6,5
Ericson15,10,1,0.25,11,1,0.75,6,6
Ericson15,10,1,0.25,11,1,1,9,9
Ericson15,10,1,0.5,11,1,0.75,3,3
Ericson15,10,1,0.5,11,1,1,4,4
Ericson15,10,1,0.5,11,1,1.25,3,3
Ericson15,10,1,0,15,1,0.25,6,5
Ericson15,10,1,0,15,1,0.5,7,6
Ericson15,10,1,0,15,1,0.75,5,3
Ericson15,10,1,0.25,15,1,0.5,5,3
Ericson15,10,1,0.25,15,1,0.75,13,12
Ericson15,10,1,0.25,15,1,1,1,1
Ericson15,10,1,0.5,15,1,0.75,6,4
Ericson15,10,1,0.5,15,1,1,5,4
Ericson15,10,1,0.5,15,1,1.25,6,5
Ericson15,10,1,0,20,1,0.25,4,3
Ericson15,10,1,0,20,1,0.5,2,2
Ericson15,10,1,0,20,1,0.75,5,5
Ericson15,10,1,0.25,20,1,0.5,7,4
Ericson15,10,1,0.25,20,1,0.75,7,7
Ericson15,10,1,0.25,20,1,1,6,5
Ericson15,10,1,0.5,20,1,0.75,5,3
Ericson15,10,1,0.5,20,1,1,6,5
Ericson15,10,1,0.5,20,1,1.25,3,2
Ericson15,16.67,1,0,66.67,1,0.25,4,2
Ericson15,16.67,1,0,66.67,1,0.5,9,6
