Exp,x1,p1,t1,x2,p2,t2,N,k
CG16_E3,42,1,6,46,1,8,25,8
CG16_E3,35,1,4,42,1,6,25,6
CG16_E3,35,1,4,50,1,11,25,19
CG16_E3,36.8,1,8,40,1,11,25,9
CG16_E3,33.6,1,6,36.8,1,8,25,9
CG16_E3,28,1,4,33.6,1,6,25,9
CG16_E3,28,1,4,40,1,11,25,19
CG16_E3,50.6,1,8,55,1,11,25,15
CG16_E3,46.2,1,6,50.6,1,8,25,12
CG16_E3,38.5,1,4,46.2,1,6,25,13
CG16_E3,38.5,1,4,55,1,11,25,20
CG16_E3,64.4,1,8,70,1,11,25,10
CG16_E3,58.8,1,6,64.4,1,8,25,8
CG16_E3,49,1,4,58.8,1,6,25,10
CG16_E3,49,1,4,70,1,11,25,25
CG16_E3,41.4,1,8,45,1,11,25,13
CG16_E3,37.8,1,6,41.4,1,8,25,6
CG16_E3,31.5,1,4,37.8,1,6,25,9
CG16_E3,31.5,1,4,45,1,11,25,20
CG16_E3,55.2,1,8,60,1,11,25,12
CG16_E3,50.4,1,6,55.2,1,8,25,9
CG16_E3,42,1,4,50.4,1,6,25,7
CG16_E3,42,1,4,60,1,11,25,20
