Exp,x1,p1,t1,x2,p2,t2,N,k
Erev02,0.2,0.52,0,93,0.44,0,38,6
Erev02,61,0.57,0,98,0.55,0,38,4
Erev02,90,0.94,0,96,0.9,0,38,23
Erev02,59,0.9,0,79,0.08,0,38,34
Erev02,14,0.76,0,58,0.53,0,38,10
Erev02,22,0.59,0,65,0.45,0,38,9
Erev02,80,0.4,0,87,0.07,0,38,35
Erev02,37,0.65,0,45,0.55,0,38,29
Erev02,30,0.69,0,31,0.35,0,38,36
Erev02,71,0.83,0,93,0.14,0,38,37
Erev02,33,0.66,0,69,0.45,0,38,19
Erev02,50,0.35,0,88,0.17,0,38,32
Erev02,27,0.84,0,54,0.64,0,38,19
Erev02,1,0.35,0,2,0.08,0,38,38
Erev02,43,0.65,0,91,0.6,0,38,6
Erev02,8,0.76,0,38,0.02,0,38,35
Erev02,11,0.81,0,56,0.05,0,38,37
Erev02,82,0.91,0,86,0.06,0,38,38
Erev02,49,0.56,0,56,0.16,0,38,37
Erev02,63,0.81,0,67,0.29,0,38,36
Erev02,76,0.93,0,100,0.48,0,38,35
Erev02,14,0.16,0,39,0.05,0,38,29
Erev02,16,0.99,0,34,0.24,0,38,38
Erev02,2,0.69,0,85,0.1,0,38,18
Erev02,7,0.97,0,8,0.61,0,38,35
Erev02,17,0.43,0,91,0.13,0,38,25
Erev02,16,0.94,0,18,0.14,0,38,35
Erev02,9,0.63,0,91,0.53,0,38,6
Erev02,1,0.8,0,88,0.71,0,38,1
Erev02,79,0.81,0,100,0.24,0,38,36
Erev02,14,0.22,0,39,0.01,0,38,31
Erev02,31,0.93,0,55,0.72,0,38,25
Erev02,11,0.95,0,79,0.62,0,38,16
Erev02,19,0.91,0,79,0.24,0,38,27
Erev02,72,0.29,0,78,0.13,0,38,38
Erev02,25,0.33,0,94,0.03,0,38,32
Erev02,52,0.82,0,70,0.78,0,38,11
Erev02,19,0.97,0,94,0.51,0,38,19
Erev02,36,0.17,0,41,0.13,0,38,17
Erev02,10,0.88,0,36,0.44,0,38,30
Erev02,47,0.67,0,92,0.57,0,38,9
Erev02,5,0.88,0,69,0.84,0,38,3
Erev02,31,0.6,0,93,0.55,0,38,3
Erev02,1,0.93,0,68,0.52,0,38,12
Erev02,32,0.15,0,85,0.12,0,38,2
Erev02,1,1,0,31,0.51,0,38,19
Erev02,13,0.54,0,90,0.45,0,38,3
Erev02,24,0.67,0,66,0.17,0,38,35
Erev02,3,0.89,0,78,0.82,0,38,4
Erev02,35,0.9,0,49,0.07,0,38,37
Erev02,63,0.94,0,78,0.46,0,38,37
Erev02,26,0.48,0,46,0.06,0,38,38
Erev02,37,0.9,0,48,0.63,0,38,26
Erev02,87,0.66,0,96,0.47,0,38,34
Erev02,21,0.89,0,96,0.87,0,38,5
Erev02,13,0.77,0,46,0.7,0,38,8
Erev02,57,0.1,0,75,0.07,0,38,23
Erev02,30,0.28,0,74,0.09,0,38,37
Erev02,59,1,0,83,0.32,0,38,33
Erev02,54,0.95,0,86,0.17,0,38,37
Erev02,21,0.79,0,79,0.23,0,38,33
Erev02,16,0.63,0,70,0.54,0,38,3
Erev02,57,0.74,0,60,0.39,0,38,37
Erev02,46,0.53,0,62,0.07,0,38,36
Erev02,30,0.93,0,40,0.37,0,38,37
Erev02,75,0.79,0,98,0.57,0,38,28
Erev02,39,0.78,0,78,0.7,0,38,9
Erev02,57,0.79,0,82,0.12,0,38,36
Erev02,4,0.45,0,75,0.19,0,38,9
Erev02,18,0.4,0,71,0.3,0,38,7
Erev02,41,0.18,0,91,0.1,0,38,11
Erev02,36,0.55,0,99,0.06,0,38,33
Erev02,33,0.97,0,87,0.17,0,38,35
