Exp,x1,p1,t1,x2,p2,t2,N,y
CG16_E2,1023,1,0.766666667,1440,1,1.866666667,28,18
CG16_E2,773,1,1.333333333,800,1,2,28,23
CG16_E2,2320,1,1.333333333,2400,1,2,28,21
CG16_E2,147,1,1.333333333,400,1,2,28,5
CG16_E2,440,1,1.333333333,1200,1,2,28,0
CG16_E2,621,1,0.933333333,850,1,2.166666667,28,20
CG16_E2,1863,1,0.933333333,2550,1,2.166666667,28,12
CG16_E2,198,1,1.366666667,600,1,2.166666667,28,3
CG16_E2,595,1,1.366666667,1800,1,2.166666667,28,6
CG16_E2,215,1,1.5,330,1,2.3,28,19
CG16_E2,646,1,1.5,990,1,2.3,28,12
CG16_E2,575,1,1.333333333,660,1,2.333333333,28,22
CG16_E2,505,1,1.333333333,580,1,2.333333333,28,25
CG16_E2,1725,1,1.333333333,1980,1,2.333333333,28,18
CG16_E2,1516,1,1.333333333,1740,1,2.333333333,28,22
CG16_E2,104,1,1,250,1,2.4,28,18
CG16_E2,313,1,1,750,1,2.4,28,13
CG16_E2,315,1,0.933333333,900,1,2.666666667,28,12
CG16_E2,945,1,0.933333333,2700,1,2.666666667,28,10
CG16_E2,195,1,1.666666667,600,1,2.666666667,28,7
CG16_E2,585,1,1.666666667,1800,1,2.666666667,28,3
CG16_E2,350,1,2.333333333,400,1,2.666666667,28,12
CG16_E2,1050,1,2.333333333,1200,1,2.666666667,28,9
CG16_E2,225,1,2.133333333,460,1,2.7,28,13
CG16_E2,676,1,2.133333333,1380,1,2.7,28,5
CG16_E2,533,1,1.866666667,800,1,2.8,28,17
CG16_E2,1600,1,1.866666667,2400,1,2.8,28,13
CG16_E2,228,1,1,360,1,3,28,21
CG16_E2,684,1,1,1080,1,3,28,16
CG16_E2,267,1,1.333333333,600,1,3,28,13
CG16_E2,800,1,1.333333333,1800,1,3,28,7
CG16_E2,69,1,1.333333333,480,1,3,28,7
CG16_E2,208,1,1.333333333,1440,1,3,28,6
CG16_E2,293,1,2.266666667,410,1,3.166666667,28,14
CG16_E2,880,1,2.266666667,1230,1,3.166666667,28,15
CG16_E3,9,1,2,12,1,2.25,25,16
CG16_E3,7,1,1.75,9,1,2,25,19
CG16_E3,5,1,1.5,7,1,1.75,25,12
CG16_E3,5,1,1.5,12,1,2.25,25,10
CG16_E3,9.9,1,2,13.2,1,2.25,25,17
CG16_E3,7.7,1,1.75,9.9,1,2,25,21
CG16_E3,5.5,1,1.5,7.7,1,1.75,25,19
CG16_E3,5.5,1,1.5,13.2,1,2.25,25,6
CG16_E3,12.6,1,2,16.8,1,2.25,25,20
CG16_E3,9.8,1,1.75,12.6,1,2,25,22
CG16_E3,7,1,1.5,9.8,1,1.75,25,21
CG16_E3,7,1,1.5,16.8,1,2.25,25,10
CG16_E3,10.8,1,2,14.4,1,2.25,25,12
CG16_E3,8.4,1,1.75,10.8,1,2,25,15
CG16_E3,6,1,1.5,8.4,1,1.75,25,16
CG16_E3,6,1,1.5,14.4,1,2.25,25,9
CG16_E3,8.1,1,2,10.8,1,2.25,25,20
CG16_E3,6.3,1,1.75,8.1,1,2,25,21
CG16_E3,4.5,1,1.5,6.3,1,1.75,25,13
CG16_E3,4.5,1,1.5,10.8,1,2.25,25,9
CG16_E3,7.2,1,2,9.6,1,2.25,25,16
