Exp,x1,p1,t1,x2,p2,t2,N,y
CG16_E2,90,1,10,450,1,50,28,8
CG16_E2,72,1,1,650,1,9,28,5
CG16_E2,533,1,56,800,1,84,28,17
CG16_E2,293,1,68,410,1,95,28,14
CG16_E2,411,1,20,780,1,38,28,8
CG16_E2,320,1,25,640,1,50,28,13
CG16_E2,104,1,30,250,1,72,28,18
CG16_E2,225,1,5,900,1,20,28,1
CG16_E2,844,1,25,1350,1,40,28,4
CG16_E2,1050,1,70,1200,1,80,28,9
CG16_E2,800,1,40,1800,1,90,28,7
CG16_E2,945,1,28,2700,1,80,28,10
CG16_E2,468,1,33,780,1,55,28,16
CG16_E2,646,1,45,990,1,69,28,12
CG16_E2,903,1,14,1290,1,20,28,5
CG16_E2,270,1,10,1350,1,50,28,5
CG16_E2,217,1,1,1950,1,9,28,2
CG16_E2,1600,1,56,2400,1,84,28,13
CG16_E2,880,1,68,1230,1,95,28,15
CG16_E2,1232,1,20,2340,1,38,28,5
CG16_E2,960,1,25,1920,1,50,28,3
CG16_E2,313,1,30,750,1,72,28,13
CG16_E2,315,1,30,700,1,40,28,4
CG16_E2,195,1,50,600,1,80,28,7
CG16_E2,20,1,7,400,1,20,28,2
CG16_E2,83,1,14,550,1,31,28,3
CG16_E2,147,1,40,400,1,60,28,5
CG16_E2,15,1,8,150,1,20,28,0
CG16_E2,219,1,35,650,1,55,28,7
CG16_E2,69,1,40,480,1,90,28,7
CG16_E2,243,1,21,540,1,28,28,5
CG16_E2,198,1,41,600,1,65,28,3
CG16_E2,312,1,28,850,1,42,28,6
CG16_E2,164,1,18,670,1,33,28,5
CG16_E2,225,1,64,460,1,81,28,13
CG16_E2,47,1,7,530,1,18,28,1
CG16_E2,40,1,15,280,1,34,28,4
CG16_E2,945,1,30,2100,1,40,28,3
CG16_E2,585,1,50,1800,1,80,28,3
CG16_E2,60,1,7,1200,1,20,28,0
CG16_E2,250,1,14,1650,1,31,28,0
CG16_E2,440,1,40,1200,1,60,28,0
CG16_E2,45,1,8,450,1,20,28,0
CG16_E2,656,1,35,1950,1,55,28,0
CG16_E2,208,1,40,1440,1,90,28,6
CG16_E2,729,1,21,1620,1,28,28,1
CG16_E2,595,1,41,1800,1,65,28,6
CG16_E2,935,1,28,2550,1,42,28,1
CG16_E2,493,1,18,2010,1,33,28,1
CG16_E2,676,1,64,1380,1,81,28,5
CG16_E2,141,1,7,1590,1,18,28,0
CG16_E2,119,1,15,840,1,34,28,3
CG16_E3,9,1,8,12,1,9,25,16
CG16_E3,7,1,7,9,1,8,25,19
CG16_E3,5,1,6,7,1,7,25,12
CG16_E3,5,1,6,12,1,9,25,10
CG16_E3,9.9,1,8,13.2,1,9,25,17
CG16_E3,7.7,1,7,9.9,1,8,25,21
CG16_E3,5.5,1,6,7.7,1,7,25,19
CG16_E3,5.5,1,6,13.2,1,9,25,6
CG16_E3,12.6,1,8,16.8,1,9,25,20
CG16_E3,9.8,1,7,12.6,1,8,25,22
CG16_E3,7,1,6,9.8,1,7,25,21
CG16_E3,7,1,6,16.8,1,9,25,10
CG16_E3,10.8,1,8,14.4,1,9,25,12
CG16_E3,8.4,1,7,10.8,1,8,25,15
CG16_E3,6,1,6,8.4,1,7,25,16
CG16_E3,6,1,6,14.4,1,9,25,9
CG16_E3,8.1,1,8,10.8,1,9,25,20
CG16_E3,6.3,1,7,8.1,1,8,25,21
CG16_E3,4.5,1,6,6.3,1,7,25,13
CG16_E3,4.5,1,6,10.8,1,9,25,9
CG16_E3,7.2,1,8,9.6,1,9,25,16
CG16_E3,5.6,1,7,7.2,1,8,25,19
CG16_E3,4,1,6,5.6,1,7,25,17
CG16_E3,4,1,6,9.6,1,9,25,8
CG16_E3,46,1,8,50,1,11,25,8
CG16_E3,42,1,6,46,1,8,25,8
