Exp,Amounts,Probability,Delay,Indifferences
GMO_99_E1,10000,0.4,0,1898.30508
GMO_99_E1,10000,0.1,0,571.42857
GMO_99_E1,10000,0.05,0,371.42857
GMO_99_E1,500,1,1,428.057554
GMO_99_E1,500,1,6,287.0503595
GMO_99_E1,500,1,12,232.3741005
GMO_99_E1,500,1,36,125.8992805
GMO_99_E1,500,1,60,88.4892085
GMO_99_E1,10000,1,1,9251.79856
GMO_99_E1,10000,1,6,7784.17266
GMO_99_E1,10000,1,12,6402.8777
GMO_99_E1,10000,1,36,4014.38849
GMO_99_E1,10000,1,60,2748.20144
GMO_99_E2,200,1,1,152.6923077
GMO_99_E2,200,1,6,90
GMO_99_E2,200,1,12,70
GMO_99_E2,200,1,36,48.84615385
GMO_99_E2,200,1,60,30
GMO_99_E2,5000,1,1,4567.307692
GMO_99_E2,5000,1,6,3692.307692
GMO_99_E2,5000,1,12,2807.692308
GMO_99_E2,5000,1,36,1500
GMO_99_E2,5000,1,60,1000
GMO_99_E2,5000,0.95,0,3821.256039
GMO_99_E2,5000,0.9,0,3550.724638
GMO_99_E2,5000,0.7,0,2236.714976
GMO_99_E2,5000,0.4,0,739.1304348
GMO_99_E2,5000,0.1,0,236.7149758
GMO_99_E2,5000,0.05,0,120.7729469
GMO_99_E2,200,0.95,0,157.6923077
GMO_99_E2,200,0.9,0,147.6923077
GMO_99_E2,200,0.7,0,107.6923077
GMO_99_E2,200,0.4,0,50
GMO_99_E2,200,0.1,0,25
GMO_99_E2,200,0.05,0,17.69230769
BOM_99,1000,1,6,892.384106
BOM_99,1000,1,12,824.5033113
BOM_99,1000,1,60,685.4304636
GFM_94,1000,1,6,781.1320755
GFM_94,1000,1,12,627.1698113
GFM_94,1000,1,36,375.0943396
GFM_94,1000,1,60,328.3018868
GFM_94,10000,1,6,8223.880597
GFM_94,10000,1,12,7268.656716
GFM_94,10000,1,36,6417.910448
GFM_94,10000,1,60,4298.507463
RR_93,100,1,1,90
RR_93,100,1,6,70
RR_93,100,1,12,58
RR_93,100,1,60,30
RR_93,10000,1,1,9900
RR_93,10000,1,6,8500
RR_93,10000,1,12,7500
RR_93,10000,1,60,5000
Thaler_81,30,1,3,15
Thaler_81,60,1,12,15
Thaler_81,100,1,36,15
Thaler_81,300,1,3,250
Thaler_81,350,1,12,250
Thaler_81,500,1,36,250
Thaler_81,3500,1,3,3000
Thaler_81,4000,1,12,3000
Thaler_81,6000,1,36,3000
Thaler_81,100,1,6,75
Thaler_81,200,1,12,75
Thaler_81,500,1,60,75
Thaler_81,300,1,6,250
Thaler_81,500,1,12,250
Thaler_81,1000,1,60,250
Thaler_81,1500,1,6,1200
Thaler_81,2400,1,12,1200
Thaler_81,5000,1,60,1200
Thaler_81,30,1,1,15
Thaler_81,50,1,12,15
Thaler_81,300,1,1,250
Thaler_81,400,1,12,250
Thaler_81,3100,1,1,3000
Thaler_81,4000,1,12,3000
