Probability,Delay,indiff
1,60,552.0215633
0.8,60,357.9514825
0.4,60,153.0997305
0.25,60,122.9110512
0.1,60,73.31536388
1,24,618.8679245
0.8,24,426.9541779
0.4,24,178.9757412
0.25,24,140.1617251
0.1,24,79.78436658
1,6,722.3719677
0.8,6,480.8625337
0.4,6,198.3827493
0.25,6,161.7250674
0.1,6,79.78436658
1,1,763.3423181
0.8,1,513.2075472
0.4,1,215.6334232
0.25,1,142.3180593
0.1,1,103.5040431
1,0,800
0.8,0,545.5525606
0.4,0,213.4770889
0.25,0,153.0997305
0.1,0,79.78436658
