Amounts,Probability,Delay,Indifference
1000,1,6,781.1320755
1000,1,12,627.1698113
1000,1,36,375.0943396
1000,1,60,328.3018868
1000,1,120,183.3962264
1000,1,300,83.77358491
10000,1,6,8223.880597
10000,1,12,7268.656716
10000,1,36,6417.910448
10000,1,60,4298.507463
10000,1,120,3895.522388
10000,1,300,2283.58209
