exp,Amounts,Probability,Delay,Indifference
Yi,10,1,1,8.24889868
Yi,10,1,6,6.97136564
Yi,10,1,12,5.18722467
Yi,10,1,60,4.7246696
Yi,10,0.75,0,9.34782609
Yi,10,0.6,0,7.369565219999999
Yi,10,0.4,0,6.3260869600000005
Yi,10,0.25,0,4.13043478
Yi,10,0.05,0,2.36956522
Yi,1000,1,1,957.0484580000001
Yi,1000,1,6,899.7797360000001
Yi,1000,1,12,809.471366
Yi,1000,1,60,633.259912
Yi,1000,0.6,0,704.347826
Yi,1000,0.4,0,584.782609
Yi,1000,0.25,0,308.695652
Yi,1000,0.05,0,163.043478
