Probability,Delay,indiff
1,60,331.8454567
0.8,60,293.9667544
0.4,60,162.4806482
0.25,60,124.6019459
0.1,60,71.11522945
1,24,462.4320568
0.8,24,362.1529387
0.4,24,168.2799769
0.25,24,125.9353847
0.1,24,72.46222865
1,6,623.5476252
0.8,6,434.1315132
0.4,6,220.2027279
0.25,6,135.5225837
0.1,6,84.26881222
1,1,717.3267942
0.8,1,494.4843095
0.4,1,282.783949
0.25,1,184.7332557
0.1,1,93.367837
1,0,799.8146746
0.8,0,556.9163663
0.4,0,285.0485349
0.25,0,191.4546913
0.1,0,115.6882465
