rowname,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta_xt,-0.7318927934228392,0.0037478793233504696,0.23509285930367513,-1.1968757049370835,-0.8894086511621058,-0.7298704299551991,-0.5762999628175582,-0.2704128792593274,3934.6642438915915,1.0014887505598775
beta_xp,0.4740896631853014,0.004699767485419807,0.2965631037458404,-0.0921711832470575,0.26848298267059595,0.4631399795664294,0.6773758096056446,1.07124640946918,3981.818791253446,0.9995674702458123
beta_xa,0.0010516731415939184,1.4648070751248651e-5,9.16357809559639e-4,3.477804026113624e-5,3.6428438399523316e-4,7.910791839147435e-4,0.0014929255874914745,0.003321233912430202,3913.535817393637,0.999693083165373
beta_xr,0.48375699738491923,0.005092448698436051,0.3028850141300727,0.03160374993814045,0.24497142536025057,0.4469361480456171,0.6852061011366043,1.1378201717216778,3537.547233478085,1.0014537015814267
beta_pa,0.48468675320105326,0.006259148023182874,0.38362839257370623,0.016195848430737802,0.1779416154596573,0.39723906948515053,0.7053224219074036,1.4137434095986319,3756.5661385961107,0.9996114879498137
beta_pr,0.5370980223597506,0.005670080946579118,0.34305913325333526,0.03324400006411475,0.2710534342544129,0.4907214276139155,0.7586657480756488,1.2949239100051453,3660.6605090389257,1.0008355529479411
beta_ta,0.028382671334967736,2.2233998825081335e-4,0.012914164459512748,0.005579516626166952,0.019162817271045206,0.027804549674517884,0.03665748031711399,0.05569056099801447,3373.6301459869787,0.9999445815495096
beta_tr,0.12907228998679404,0.0016539926943679691,0.10158178920043145,0.005116860700141584,0.04897442675542111,0.10642611109108394,0.1864101437667468,0.37688752204614806,3771.937969255762,1.0006074961812383
