x1,p1,t1,x2,p2,t2,n,k,set
1,1,0.25,1.5,1,1,2,1,Ericson
1,1,0.5,1.5,1,0.75,8,5,Ericson
1,1,0.5,1.5,1,1,2,1,Ericson
1,1,0.5,1.5,1,1.25,8,5,Ericson
1,1,0,2,1,0.25,1,1,Ericson
1,1,0,2,1,0.5,5,5,Ericson
1,1,0,2,1,0.75,2,2,Ericson
1,1,0.25,2,1,0.5,7,6,Ericson
1,1,0.25,2,1,0.75,9,9,Ericson
1,1,0.25,2,1,1,2,1,Ericson
1,1,0.5,2,1,0.75,5,2,Ericson
1,1,0.5,2,1,1,3,2,Ericson
1,1,0.5,2,1,1.25,6,6,Ericson
1,1,0,3,1,0.25,3,2,Ericson
1,1,0,3,1,0.5,3,3,Ericson
1,1,0,3,1,0.75,4,3,Ericson
1,1,0.25,3,1,0.5,5,3,Ericson
1,1,0.25,3,1,0.75,4,4,Ericson
1,1,0.25,3,1,1,10,6,Ericson
1,1,0.5,3,1,0.75,2,0,Ericson
1,1,0.5,3,1,1,5,4,Ericson
1,1,0.5,3,1,1.25,3,1,Ericson
1.67,1,0,6.67,1,0.25,5,2,Ericson
1.67,1,0,6.67,1,0.5,2,0,Ericson
1.67,1,0,6.67,1,0.75,1,1,Ericson
1.67,1,0.25,6.67,1,0.5,3,0,Ericson
1.67,1,0.25,6.67,1,0.75,3,1,Ericson
1.67,1,0.25,6.67,1,1,6,3,Ericson
1.67,1,0.5,6.67,1,0.75,4,1,Ericson
1.67,1,0.5,6.67,1,1,3,1,Ericson
1.67,1,0.5,6.67,1,1.25,6,2,Ericson
2,1,0,2.1,1,0.25,3,3,Ericson
2,1,0,2.1,1,0.5,4,4,Ericson
2,1,0,2.1,1,0.75,6,6,Ericson
2,1,0.25,2.1,1,0.5,6,6,Ericson
2,1,0.25,2.1,1,0.75,5,5,Ericson
2,1,0.25,2.1,1,1,9,9,Ericson
2,1,0.5,2.1,1,0.75,5,4,Ericson
2,1,0.5,2.1,1,1,6,5,Ericson
2,1,0.5,2.1,1,1.25,8,8,Ericson
2,1,0,2.5,1,0.25,3,2,Ericson
2,1,0,2.5,1,0.5,5,4,Ericson
2,1,0,2.5,1,0.75,5,4,Ericson
2,1,0.25,2.5,1,0.5,6,6,Ericson
2,1,0.25,2.5,1,0.75,4,4,Ericson
2,1,0.25,2.5,1,1,5,4,Ericson
2,1,0.5,2.5,1,0.75,3,3,Ericson
2,1,0.5,2.5,1,1,5,5,Ericson
2,1,0.5,2.5,1,1.25,3,3,Ericson
2,1,0,3,1,0.25,4,4,Ericson
2,1,0,3,1,0.5,4,3,Ericson
2,1,0,3,1,0.75,6,5,Ericson
2,1,0.25,3,1,0.5,4,3,Ericson
2,1,0.25,3,1,0.75,4,3,Ericson
2,1,0.25,3,1,1,6,5,Ericson
2,1,0.5,3,1,0.75,6,3,Ericson
2,1,0.5,3,1,1,8,8,Ericson
2,1,0.5,3,1,1.25,6,5,Ericson
2,1,0,4,1,0.25,10,9,Ericson
2,1,0,4,1,0.5,7,6,Ericson
2,1,0,4,1,0.75,7,7,Ericson
2,1,0.25,4,1,0.5,7,4,Ericson
2,1,0.25,4,1,0.75,8,5,Ericson
2,1,0.25,4,1,1,4,4,Ericson
2,1,0.5,4,1,0.75,4,2,Ericson
2,1,0.5,4,1,1,4,4,Ericson
2,1,0.5,4,1,1.25,8,7,Ericson
2.5,1,0,7.5,1,0.25,4,3,Ericson
2.5,1,0,7.5,1,0.5,5,0,Ericson
2.5,1,0,7.5,1,0.75,7,3,Ericson
2.5,1,0.25,7.5,1,0.5,13,2,Ericson
2.5,1,0.25,7.5,1,0.75,3,3,Ericson
2.5,1,0.25,7.5,1,1,6,5,Ericson
2.5,1,0.5,7.5,1,0.75,6,1,Ericson
2.5,1,0.5,7.5,1,1,7,4,Ericson
2.5,1,0.5,7.5,1,1.25,10,7,Ericson
3.33,1,0,13.33,1,0.25,6,4,Ericson
3.33,1,0,13.33,1,0.5,6,3,Ericson
3.33,1,0,13.33,1,0.75,9,4,Ericson
3.33,1,0.25,13.33,1,0.5,7,1,Ericson
3.33,1,0.25,13.33,1,0.75,6,1,Ericson
3.33,1,0.25,13.33,1,1,4,2,Ericson
3.33,1,0.5,13.33,1,0.75,6,1,Ericson
3.33,1,0.5,13.33,1,1,5,3,Ericson
3.33,1,0.5,13.33,1,1.25,8,2,Ericson
4,1,0,5,1,0.25,3,2,Ericson
