x1,p1,t1,x2,p2,t2,n,k,set
7,0.97,0,8,0.61,0,38,35,Erev
65,0.93,0,75,0.78,0,38,35,Erev
43,0.85,0,65,0.53,0,38,33,Erev
38,0.81,0,49,0.58,0,38,33,Erev
50,0.35,0,88,0.17,0,38,32,Erev
30,0.56,0,31,0.46,0,38,34,Erev
14,0.22,0,39,0.01,0,38,31,Erev
13,0.87,0,45,0.19,0,38,35,Erev
7,0.92,0,10,0.36,0,38,36,Erev
83,0.89,0,97,0.73,0,38,29,Erev
37,0.9,0,48,0.63,0,38,26,Erev
40,0.48,0,64,0.25,0,38,36,Erev
75,0.79,0,98,0.57,0,38,28,Erev
24,0.67,0,66,0.17,0,38,35,Erev
37,0.32,0,86,0.08,0,38,34,Erev
82,0.1,0,98,0.03,0,38,27,Erev
8,0.76,0,38,0.02,0,38,35,Erev
25,0.33,0,94,0.03,0,38,32,Erev
61,0.37,0,67,0.25,0,38,32,Erev
11,0.81,0,56,0.05,0,38,37,Erev
29,0.64,0,45,0.25,0,38,33,Erev
16,0.99,0,34,0.24,0,38,38,Erev
53,0.28,0,56,0.12,0,38,36,Erev
68,0.37,0,88,0.19,0,38,32,Erev
57,0.77,0,93,0.38,0,38,33,Erev
33,0.39,0,78,0.05,0,38,34,Erev
22,0.76,0,86,0.09,0,38,35,Erev
26,0.48,0,46,0.06,0,38,38,Erev
62,0.79,0,80,0.49,0,38,36,Erev
30,0.69,0,31,0.35,0,38,36,Erev
33,0.47,0,69,0.08,0,38,36,Erev
83,0.15,0,93,0.02,0,38,35,Erev
72,0.29,0,78,0.13,0,38,38,Erev
80,0.81,0,92,0.58,0,38,37,Erev
75,0.24,0,76,0.08,0,38,35,Erev
52,0.72,0,85,0.3,0,38,35,Erev
39,0.66,0,86,0.16,0,38,37,Erev
87,0.66,0,96,0.47,0,38,34,Erev
66,0.96,0,100,0.51,0,38,31,Erev
52,0.61,0,60,0.32,0,38,37,Erev
16,0.94,0,18,0.14,0,38,35,Erev
