"","p1","t1","x1","p2","t2","x2","trial","choice","manipulation","num"
"346",0.6,3,2000,0.25,24,3000,"DRvA.10.Mag","DRvA","Mag",10
"347",0.6,9,1250,0.5,54,3500,"DRvA.11.Mag","DRvA","Mag",11
"348",0.55,8,1750,0.45,18,3500,"DRvA.12.Mag","DRvA","Mag",12
"349",0.95,18,750,0.1,21,4500,"DRvA.13.Mag","DRvA","Mag",13
"350",0.9,3,1750,0.85,4,3000,"DRvA.14.Mag","DRvA","Mag",14
"351",0.45,5,3250,0.35,8,3750,"DRvA.15.Mag","DRvA","Mag",15
"352",0.95,1,1500,0.6,4,4750,"DRvA.16.Mag","DRvA","Mag",16
"353",1,12,175,0.8,17,300,"DRvA.1.Imm","DRvA","Imm",1
"354",1,12,50,0.45,33,225,"DRvA.2.Imm","DRvA","Imm",2
"355",1,12,125,0.9,33,375,"DRvA.3.Imm","DRvA","Imm",3
"356",1,12,275,0.95,16,475,"DRvA.4.Imm","DRvA","Imm",4
"357",1,12,175,0.75,14,375,"DRvA.5.Imm","DRvA","Imm",5
"358",1,12,50,0.85,15,75,"DRvA.6.Imm","DRvA","Imm",6
"359",1,12,250,0.85,17,375,"DRvA.7.Imm","DRvA","Imm",7
"360",1,12,100,0.45,27,450,"DRvA.8.Imm","DRvA","Imm",8
"361",0.55,17,175,0.3,20,225,"DRvA.9.Imm","DRvA","Imm",9
"362",0.6,15,200,0.25,36,300,"DRvA.10.Imm","DRvA","Imm",10
"363",0.6,21,125,0.5,66,350,"DRvA.11.Imm","DRvA","Imm",11
"364",0.55,20,175,0.45,30,350,"DRvA.12.Imm","DRvA","Imm",12
"365",0.95,30,75,0.1,33,450,"DRvA.13.Imm","DRvA","Imm",13
"366",0.9,15,175,0.85,16,300,"DRvA.14.Imm","DRvA","Imm",14
"367",0.45,17,325,0.35,20,375,"DRvA.15.Imm","DRvA","Imm",15
"368",0.95,13,150,0.6,16,475,"DRvA.16.Imm","DRvA","Imm",16
"369",0.2,0,175,0.16,5,300,"DRvA.1.Cert","DRvA","Cert",1
"370",0.2,0,50,0.09,21,225,"DRvA.2.Cert","DRvA","Cert",2
"371",0.2,0,125,0.18,21,375,"DRvA.3.Cert","DRvA","Cert",3
"372",0.2,0,275,0.19,4,475,"DRvA.4.Cert","DRvA","Cert",4
"373",0.2,0,175,0.15,2,375,"DRvA.5.Cert","DRvA","Cert",5
"374",0.2,0,50,0.17,3,75,"DRvA.6.Cert","DRvA","Cert",6
"375",0.2,0,250,0.17,5,375,"DRvA.7.Cert","DRvA","Cert",7
"376",0.2,0,100,0.09,15,450,"DRvA.8.Cert","DRvA","Cert",8
"377",0.11,5,175,0.06,8,225,"DRvA.9.Cert","DRvA","Cert",9
"378",0.12,3,200,0.05,24,300,"DRvA.10.Cert","DRvA","Cert",10
"379",0.12,9,125,0.1,54,350,"DRvA.11.Cert","DRvA","Cert",11
"380",0.11,8,175,0.09,18,350,"DRvA.12.Cert","DRvA","Cert",12
"381",0.19,18,75,0.02,21,450,"DRvA.13.Cert","DRvA","Cert",13
"382",0.18,3,175,0.17,4,300,"DRvA.14.Cert","DRvA","Cert",14
"383",0.09,5,325,0.07,8,375,"DRvA.15.Cert","DRvA","Cert",15
"384",0.19,1,150,0.12,4,475,"DRvA.16.Cert","DRvA","Cert",16
"385",0.4,0,50,0.3,0,50,"Dom.1",NA,NA,1
"386",1,18,50,1,24,50,"Dom.2",NA,NA,2
"387",0.7,6,400,0.6,9,400,"Dom.3",NA,NA,3
"388",0.8,3,300,0.8,6,275,"Dom.4",NA,NA,4
"389",0.85,9,300,0.7,9,275,"Dom.5",NA,NA,5
"390",0.4,18,225,0.4,18,175,"Dom.6",NA,NA,6
