Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,CG16_E1,480,1,0,600,1,1,28,16
Choice,CG16_E1,500,1,0,600,1,1,28,22
Choice,CG16_E1,520,1,0,600,1,1,28,24
Choice,CG16_E1,540,1,0,600,1,1,28,27
Choice,CG16_E1,560,1,0,600,1,1,28,28
Choice,CG16_E1,580,1,0,600,1,1,28,28
Choice,CG16_E1,20,1,0,600,1,1.67,28,0
Choice,CG16_E1,40,1,0,600,1,1.67,28,0
Choice,CG16_E1,60,1,0,600,1,1.67,28,0
Choice,CG16_E1,80,1,0,600,1,1.67,28,0
Choice,CG16_E1,100,1,0,600,1,1.67,28,0
Choice,CG16_E1,120,1,0,600,1,1.67,28,0
Choice,CG16_E1,140,1,0,600,1,1.67,28,0
Choice,CG16_E1,160,1,0,600,1,1.67,28,0
Choice,CG16_E1,180,1,0,600,1,1.67,28,0
Choice,CG16_E1,200,1,0,600,1,1.67,28,1
Choice,CG16_E1,220,1,0,600,1,1.67,28,1
Choice,CG16_E1,240,1,0,600,1,1.67,28,1
Choice,CG16_E1,260,1,0,600,1,1.67,28,1
Choice,CG16_E1,280,1,0,600,1,1.67,28,3
Choice,CG16_E1,300,1,0,600,1,1.67,28,6
Choice,CG16_E1,320,1,0,600,1,1.67,28,6
Choice,CG16_E1,340,1,0,600,1,1.67,28,6
Choice,CG16_E1,360,1,0,600,1,1.67,28,6
Choice,CG16_E1,380,1,0,600,1,1.67,28,7
Choice,CG16_E1,400,1,0,600,1,1.67,28,15
Choice,CG16_E1,420,1,0,600,1,1.67,28,17
Choice,CG16_E1,440,1,0,600,1,1.67,28,17
Choice,CG16_E1,460,1,0,600,1,1.67,28,21
Choice,CG16_E1,480,1,0,600,1,1.67,28,23
Choice,CG16_E1,500,1,0,600,1,1.67,28,26
Choice,CG16_E1,520,1,0,600,1,1.67,28,27
Choice,CG16_E1,540,1,0,600,1,1.67,28,27
Choice,CG16_E1,560,1,0,600,1,1.67,28,28
Choice,CG16_E1,580,1,0,600,1,1.67,28,28
Choice,CG16_E1,20,1,0,600,1,3.33,28,0
Choice,CG16_E1,40,1,0,600,1,3.33,28,0
Choice,CG16_E1,60,1,0,600,1,3.33,28,0
Choice,CG16_E1,80,1,0,600,1,3.33,28,0
Choice,CG16_E1,100,1,0,600,1,3.33,28,0
Choice,CG16_E1,120,1,0,600,1,3.33,28,1
Choice,CG16_E1,140,1,0,600,1,3.33,28,1
Choice,CG16_E1,160,1,0,600,1,3.33,28,1
Choice,CG16_E1,180,1,0,600,1,3.33,28,2
Choice,CG16_E1,200,1,0,600,1,3.33,28,6
Choice,CG16_E1,220,1,0,600,1,3.33,28,6
Choice,CG16_E1,240,1,0,600,1,3.33,28,6
Choice,CG16_E1,260,1,0,600,1,3.33,28,8
Choice,CG16_E1,280,1,0,600,1,3.33,28,8
Choice,CG16_E1,300,1,0,600,1,3.33,28,11
Choice,CG16_E1,320,1,0,600,1,3.33,28,12
Choice,CG16_E1,340,1,0,600,1,3.33,28,12
Choice,CG16_E1,360,1,0,600,1,3.33,28,15
Choice,CG16_E1,380,1,0,600,1,3.33,28,16
Choice,CG16_E1,400,1,0,600,1,3.33,28,21
Choice,CG16_E1,420,1,0,600,1,3.33,28,23
Choice,CG16_E1,440,1,0,600,1,3.33,28,25
Choice,CG16_E1,460,1,0,600,1,3.33,28,25
Choice,CG16_E1,480,1,0,600,1,3.33,28,26
Choice,CG16_E1,500,1,0,600,1,3.33,28,28
Choice,CG16_E1,520,1,0,600,1,3.33,28,28
Choice,CG16_E1,540,1,0,600,1,3.33,28,28
Choice,CG16_E1,560,1,0,600,1,3.33,28,28
Choice,CG16_E1,580,1,0,600,1,3.33,28,28
Choice,CG16_E1,20,1,0,600,1,5,28,0
Choice,CG16_E1,40,1,0,600,1,5,28,0
Choice,CG16_E1,60,1,0,600,1,5,28,0
Choice,CG16_E1,80,1,0,600,1,5,28,1
Choice,CG16_E1,100,1,0,600,1,5,28,2
Choice,CG16_E1,120,1,0,600,1,5,28,2
Choice,CG16_E1,140,1,0,600,1,5,28,3
Choice,CG16_E1,160,1,0,600,1,5,28,4
Choice,CG16_E1,180,1,0,600,1,5,28,5
Choice,CG16_E1,200,1,0,600,1,5,28,9
Choice,CG16_E1,220,1,0,600,1,5,28,10
Choice,CG16_E1,240,1,0,600,1,5,28,11
Choice,CG16_E1,260,1,0,600,1,5,28,14
Choice,CG16_E1,280,1,0,600,1,5,28,16
Choice,CG16_E1,300,1,0,600,1,5,28,17
Choice,CG16_E1,320,1,0,600,1,5,28,19
Choice,CG16_E1,340,1,0,600,1,5,28,21
Choice,CG16_E1,360,1,0,600,1,5,28,21
Choice,CG16_E1,380,1,0,600,1,5,28,23
Choice,CG16_E1,400,1,0,600,1,5,28,25
Choice,CG16_E1,420,1,0,600,1,5,28,26
Choice,CG16_E1,440,1,0,600,1,5,28,26
Choice,CG16_E1,460,1,0,600,1,5,28,26
Choice,CG16_E1,480,1,0,600,1,5,28,26
Choice,CG16_E1,500,1,0,600,1,5,28,27
Choice,CG16_E1,520,1,0,600,1,5,28,27
Choice,CG16_E1,540,1,0,600,1,5,28,28
Choice,CG16_E1,560,1,0,600,1,5,28,28
