Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,Erev02,52,0.72,0,85,0.3,0,38,35
Choice,Erev02,1,0.27,0,83,0.24,0,38,6
Choice,Erev02,30,0.97,0,42,0.31,0,38,38
Choice,Erev02,61,0.37,0,67,0.25,0,38,32
Choice,Erev02,39,0.66,0,86,0.16,0,38,37
Choice,Erev02,18,0.77,0,75,0.29,0,38,27
Choice,Erev02,83,0.15,0,93,0.02,0,38,35
Choice,Erev02,43,0.85,0,65,0.53,0,38,33
Choice,Erev02,34,0.7,0,72,0.34,0,38,23
Choice,Erev02,51,0.8,0,90,0.27,0,38,25
Choice,Erev02,21,0.26,0,25,0.21,0,38,24
Choice,Erev02,8,0.78,0,61,0.68,0,38,4
Choice,Erev02,43,0.81,0,61,0.25,0,38,37
Choice,Erev02,45,0.28,0,92,0.14,0,38,26
Choice,Erev02,38,0.99,0,49,0.38,0,38,37
Choice,Erev02,11,1,0,38,0.54,0,38,28
Choice,Erev02,30,0.56,0,31,0.46,0,38,34
Choice,Erev02,36,0.71,0,95,0.62,0,38,12
Choice,Erev02,39,0.29,0,74,0.28,0,38,6
Choice,Erev02,60,0.8,0,74,0.75,0,38,15
Choice,Erev02,88,0.8,0,89,0.43,0,38,32
Choice,Erev02,38,0.73,0,60,0.7,0,38,8
Choice,Erev02,88,0.89,0,98,0.33,0,38,38
Choice,Erev02,52,0.61,0,60,0.32,0,38,37
Choice,Erev02,20,0.59,0,96,0.15,0,38,26
Choice,Erev02,48,0.63,0,90,0.34,0,38,31
Choice,Erev02,57,0.77,0,93,0.38,0,38,33
Choice,Erev02,57,0.94,0,70,0.23,0,38,37
Choice,Erev02,68,0.37,0,88,0.19,0,38,32
Choice,Erev02,1,0.47,0,42,0.24,0,38,3
Choice,Erev02,12,0.74,0,49,0.16,0,38,36
Choice,Erev02,33,0.57,0,93,0.2,0,38,32
Choice,Erev02,65,0.93,0,75,0.78,0,38,35
Choice,Erev02,22,0.76,0,86,0.09,0,38,35
Choice,Erev02,41,0.51,0,65,0.35,0,38,32
Choice,Erev02,80,0.81,0,92,0.58,0,38,37
Choice,Erev02,31,0.94,0,77,0.55,0,38,32
Choice,Erev02,9,0.64,0,81,0.22,0,38,15
Choice,Erev02,20,0.81,0,36,0.01,0,38,37
Choice,Erev02,83,0.97,0,95,0.25,0,38,36
Choice,Erev02,83,0.89,0,97,0.73,0,38,29
Choice,Erev02,13,0.95,0,36,0.35,0,38,36
Choice,Erev02,66,0.96,0,100,0.51,0,38,31
Choice,Erev02,74,0.74,0,85,0.67,0,38,27
Choice,Erev02,6,0.6,0,33,0.49,0,38,8
Choice,Erev02,40,0.48,0,64,0.25,0,38,36
Choice,Erev02,0.2,0.52,0,93,0.44,0,38,6
Choice,Erev02,61,0.57,0,98,0.55,0,38,4
