V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
58,55,67,57,56,56,58,57,61,54,48,71,53,70,59,68,59,61,51,55,60,56,53,54,65,48,45,55,53,51,45,41,41,44,46,64,16,49,51,25,22,39,28,27,21,21,56,37,54,72,82,68,68,74,70,75,42,58,36,74,76,71,63,62,58,62,53,30,33,35,68,50,34,22,21,35,41,23,25,46,65,76,65,53,68,64,67,73,70,78,55,42,82,44,59,65
63,63,64,72,60,58,53,73,60,63,45,64,52,73,57,69,60,66,46,60,63,58,51,58,73,39,44,54,51,37,46,45,39,42,51,53,18,55,45,32,21,27,19,26,27,22,36,39,65,72,78,69,67,75,82,70,56,68,53,67,83,72,69,56,56,66,57,26,28,24,64,47,31,13,22,33,37,28,31,38,71,73,61,55,67,68,73,71,77,75,65,51,85,34,69,60
61,55,68,61,57,55,58,63,67,55,42,63,54,73,56,61,60,60,41,56,60,63,55,52,65,50,51,58,42,45,40,42,35,55,45,66,20,51,55,24,21,30,20,21,21,14,50,42,68,71,71,69,72,78,74,72,45,69,46,72,88,81,65,62,47,52,36,26,36,33,63,49,29,31,24,33,36,24,27,43,59,75,63,51,75,69,66,78,73,73,61,44,75,43,57,65
64,67,65,62,58,58,59,70,63,63,42,72,49,74,60,67,58,68,46,61,59,52,53,56,66,51,55,56,48,45,45,49,34,47,44,61,13,65,43,12,19,30,28,29,10,13,49,38,59,72,81,75,67,77,81,66,42,64,49,76,77,76,72,62,56,59,47,20,29,29,70,56,30,17,20,32,46,32,25,37,71,74,70,58,71,70,69,73,76,81,59,54,78,41,65,68
63,69,73,65,65,54,61,75,52,57,52,84,64,75,52,64,53,61,44,62,58,69,52,57,62,44,53,58,42,47,51,51,26,50,41,70,13,61,47,27,18,34,19,17,22,19,45,28,62,72,82,71,71,73,83,69,45,65,49,77,86,80,66,58,52,55,53,40,40,34,71,43,30,23,29,32,35,29,30,39,69,76,67,50,64,67,75,80,73,83,60,52,82,35,70,67
67,61,71,68,72,53,52,69,65,58,54,63,51,72,53,68,59,70,40,60,66,50,61,65,66,52,56,58,54,50,57,40,42,45,43,63,14,62,53,24,19,27,27,28,25,23,49,45,65,75,81,68,71,78,76,73,42,71,47,76,73,70,60,60,60,63,53,23,39,31,71,46,35,15,24,34,37,33,30,39,76,81,67,71,69,75,72,81,74,79,63,56,84,44,52,68
65,65,70,69,57,57,59,70,67,71,45,67,64,76,59,66,54,65,48,66,67,52,56,54,66,44,56,60,48,51,43,55,37,47,37,58,21,59,57,22,13,26,19,22,18,21,50,34,70,73,80,70,75,79,85,77,49,74,44,72,72,76,66,59,40,63,44,25,47,32,72,47,35,24,23,34,39,28,28,44,70,78,66,61,65,68,78,79,82,78,58,50,89,42,64,62
69,72,76,63,70,56,61,68,62,63,42,72,68,73,65,70,64,65,45,68,66,60,63,60,70,52,54,58,42,50,48,36,37,55,54,62,13,71,59,17,16,30,17,16,24,21,53,42,67,77,83,76,75,80,83,73,48,70,50,77,88,80,70,60,59,62,58,23,30,24,73,42,27,15,21,30,42,23,33,48,72,81,74,63,72,71,74,73,79,84,64,52,87,44,63,73
59,52,64,61,54,54,56,63,60,58,45,67,60,72,59,59,55,53,53,57,58,55,45,57,57,47,46,60,43,47,43,35,33,51,50,57,14,57,46,26,23,44,22,23,25,17,39,34,60,67,70,70,61,72,74,69,46,58,48,68,78,74,74,59,51,60,35,32,37,25,64,43,33,16,23,29,39,35,24,36,59,66,59,61,59,57,67,71,75,78,54,44,78,47,57,67
62,61,74,61,61,54,50,67,67,57,52,72,55,81,69,68,58,71,45,58,59,60,49,64,64,50,51,57,42,50,48,52,29,50,37,65,15,64,55,18,19,32,23,27,28,23,44,43,61,75,77,70,72,81,78,72,53,63,57,78,87,75,65,65,55,54,47,37,34,28,69,46,33,17,32,32,43,21,31,35,75,80,67,60,62,71,72,76,77,82,59,45,82,46,61,63
